word,mpfpm
a,28741.103008161568
a.m.,7.842112142203634
aa,0.14422411273325847
aaa,0.14422411273325847
aaron,0.9614940848883899
ab,0.409032384731292
aback,0.8885738520900626
abaft,0.14101816525495733
abandon,14.200069242792935
abandoned,21.37720163262351
abandonment,4.711688698322324
abase,0.3525454131373933
abasement,0.6514062783462663
abash,0.07050908262747867
abashed,0.423054495764872
abate,0.3860987050308073
abatement,0.7721974100616146
abbe,0.14422411273325847
abbey,0.2904485978593938
abbot,0.2904485978593938
abbreviate,0.07050908262747867
abbreviated,0.9697025469104705
abbreviation,0.43146676311435117
abc,2.0809137068174692
abdicate,0.07050908262747867
abdication,0.07050908262747867
abdomen,1.9798591609001595
abdominal,1.1617943914375752
abduction,0.5308221190814912
abeam,0.07050908262747867
abed,0.43146676311435117
abel,0.24037352122209749
aberdeen,0.48074704244419497
aberrant,1.4522429892969693
aberration,1.2830848244703492
abeyance,1.130947745705037
abhor,1.5511998178045303
abhorrence,0.4006201173818128
abhorrent,0.505181793220131
abide,12.47321044538263
abiding,4.696572207149391
ability,105.45547665511941
abject,1.3905496978318925
abjection,0.2904485978593938
abjectly,0.3609576804868725
abjure,0.07050908262747867
ablated,0.2904485978593938
ablation,0.5808971957187876
ablaze,3.072560184369428
able,248.31520014169382
ably,1.109718942407402
abnormal,7.768702306978332
abnormality,0.07050908262747867
abnormally,0.7951310897620992
abo,0.14422411273325847
aboard,39.32572930486533
abode,9.098167903814074
abolish,6.923023399989074
abolition,3.9971870020632068
abolitionist,0.3385233021038133
abominable,2.4229491351956347
abominably,0.14101816525495733
abominate,0.14101816525495733
abomination,7.625490908526923
aboriginal,0.8577272063575243
aborigine,2.0812148892601763
abort,6.029508996167123
abortion,9.94455668007604
abortionist,0.04807470424441949
abortive,0.9899295804500797
abound,2.678146818723814
abounding,1.2327069978779768
about,2855.0954765182787
above,332.35875788233807
above-mentioned,0.5808971957187876
aboveground,4.067678377538976
abraham,0.8172699721551313
abrasive,0.48074704244419497
abreaction,0.2904485978593938
abreast,1.9233721893062605
abridge,0.07050908262747867
abridged,0.43146676311435117
abridgement,0.07050908262747867
abridgment,0.2904485978593938
abroad,50.61657331756128
abrupt,8.756341737596625
abruptly,14.413078548804547
abruptness,0.7135030936242658
abs,3.873379188168421
abscissa,0.2904485978593938
absence,28.50780406134851
absent,21.018792262165235
absentee,0.38659800634823277
absenteeism,0.2904485978593938
absently,2.0247279176662776
absentminded,0.14101816525495733
absentmindedly,0.3609576804868725
absinth,0.07050908262747867
absinthe,0.45710708897571145
absolute,35.450779828844524
absolutely,44.28880490830613
absoluteness,0.5808971957187876
absolution,0.38659800634823277
absolutist,0.04807470424441949
absolve,0.5271168702857646
absolved,0.04807470424441949
absorb,12.133680115449648
absorbed,11.548166944046065
absorbency,0.2904485978593938
absorbent,0.3155896224033286
absorber,0.2904485978593938
absorbing,3.915667033748269
absorption,4.42744502296896
absorptive,0.2904485978593938
abstain,1.2406199639100304
abstainer,0.07050908262747867
abstemious,0.14101816525495733
abstention,1.4522429892969693
abstinence,0.7391434194856261
abstract,11.505874363830673
abstracted,1.223891206715575
abstractedly,0.211527247882436
abstractedness,0.2904485978593938
abstraction,4.246960972181412
abstractionism,0.2904485978593938
abstractive,0.2904485978593938
abstractly,0.2904485978593938
abstruse,0.14101816525495733
absurd,12.213595563045276
absurdity,3.583141681699912
absurdly,0.8865734796971856
abundance,11.15175094839587
abundant,6.135695910543128
abundantly,3.4076723957745365
abuse,11.366371087481928
abused,2.448987988516574
abuser,0.09614940848883897
abusive,6.243456247796262
abuzz,0.09614940848883897
abysmal,1.0616442381629825
abysmally,0.09614940848883897
abyss,5.699217779309142
abyssinian,0.04807470424441949
ac,0.14422411273325847
acacia,0.9418548762056602
academe,0.04807470424441949
academia,0.09614940848883897
academic,21.25042695554533
academically,1.4522429892969693
academy,8.268912462843485
accede,0.2904485978593938
accelerate,9.356504961731188
accelerated,10.20620800711059
acceleration,7.510417847080745
accelerator,7.166162363060763
accelerometer,4.937626163609696
accent,34.23449903572685
accented,2.9041847961512315
accenting,0.2904485978593938
accentual,0.2904485978593938
accentuate,0.7983370372404003
accept,130.2880013655427
acceptability,0.5808971957187876
acceptable,22.76395347127835
acceptably,0.14101816525495733
acceptance,24.117918499793596
acceptation,0.211527247882436
accepted,90.52671750573181
accepting,16.370219594312847
access,127.55463072024511
accessibility,2.5656614940474176
accessible,23.965405291038433
accession,2.9813247668849145
accessory,7.963491944090457
accident,31.02942331844066
accidental,5.776227280432677
accidentally,18.901908362633954
acclaim,2.0688018771249435
acclamation,0.3609576804868725
acclimatize,0.04807470424441949
accolade,0.6289718999632071
accommodate,7.339240035197169
accommodating,1.3003128829822301
accommodation,2.5063809523639957
accommodative,2.2091273568233003
accompanied,18.88039683834153
accompaniment,4.760253850308314
accompanist,0.2904485978593938
accompany,5.435213158194416
accompanying,12.451266943122677
accomplice,1.1770220775565794
accomplish,12.875219529382353
accomplished,24.108974297870578
accomplishment,4.215526501591993
accord,109.58669249360183
accordance,11.403250145756205
accordant,0.14101816525495733
according,198.7930559776189
accordingly,8.865309249545987
accordion,2.275212896188024
accost,0.11858378687189816
accouchement,0.07050908262747867
accoucheur,0.07050908262747867
account,196.72743578358504
accountability,1.2098690956819946
accountable,1.2517388774203853
accountant,1.2058683508962411
accounting,45.71568940634556
accreditation,2.033140185015757
accredited,0.8964868181221162
accretion,0.9418548762056602
accrual,8.520919804889871
accrue,1.1582961150924218
accrued,6.763486244720532
acculturation,0.2904485978593938
accumulate,1.6916179078842153
