The New Dolch List 1.0, also known as the NDL (Browne & Culligan, 2020), is a list of 875 words that are important for young second language learners to be able to successfully interact with EFL learning materials, other EFL learners, as well as popular children’s TV shows and children’s picture books. The NDL is based on a carefully selected corpus of 2.45 million words and gives approximately 90% coverage of most children's books, television shows, and YouTube videos. The corpus consists of the following components:

Graded Readers           991,104 words
Elementary EFL             4,623
MiddleSchool Texts       322,169
PictureBooks              13,347
textbooks                575,976
YouTube Not transcribed  548,172
Dolch Corpus Total     2,455,391 words

References
Browne, C. &  Culligan, B. (2020). New Dolch word list 1.0. Retrieved from http://www.newgeneralservicelist.org/

Rank	Word
4.	a
504.	able
32.	about
632.	above
512.	across
600.	act
658.	action
275.	activity
561.	add
712.	adjective
492.	afraid
114.	after
673.	afternoon
98.	again
527.	ago
551.	agree
383.	air
35.	all
852.	allow
510.	almost
707.	alone
311.	along
375.	aloud
626.	already
155.	also
241.	always
649.	amaze
5.	and
417.	angry
99.	animal
198.	another
130.	answer
680.	ant
177.	any
623.	anyone
346.	anything
455.	apple
406.	area
339.	arm
110.	around
520.	arrive
579.	art
854.	artist
36.	as
59.	ask
27.	at
777.	attention
633.	aunt
113.	away
332.	baby
88.	back
225.	bad
386.	bag
309.	ball
483.	banana
583.	bark
790.	bat
2.	be
438.	beach
419.	bear
713.	beat
239.	beautiful
118.	because
224.	become
263.	bed
779.	bedroom
507.	bee
652.	beep
179.	before
191.	begin
469.	behind
333.	believe
597.	bell
868.	below
539.	between
100.	big
549.	bike
213.	bird
442.	birthday
820.	bit
356.	black
640.	blow
216.	blue
308.	board
330.	boat
269.	body
816.	bone
439.	boo
150.	book
696.	boom
321.	both
736.	bottle
718.	bottom
867.	bowl
195.	box
146.	boy
722.	bread
381.	break
659.	breakfast
841.	breathe
788.	bridge
733.	bright
253.	bring
403.	brother
526.	brown
812.	brush
258.	build
387.	bus
753.	business
704.	busy
29.	but
762.	butterfly
349.	buy
73.	by
380.	bye
587.	cake
117.	call
869.	camera
26.	can
546.	captain
243.	car
354.	card
411.	care
873.	careful
691.	carefully
541.	carry
849.	castle
300.	cat
426.	catch
598.	cause
730.	cave
801.	center
508.	chair
675.	chance
262.	change
559.	chant
522.	chapter
379.	check
533.	cheer
723.	cheese
494.	chicken
61.	child
721.	chocolate
484.	choose
831.	chorus
247.	circle
351.	city
229.	clap
197.	class
449.	classroom
350.	clean
776.	clear
377.	climb
824.	clock
290.	close
306.	clothes
740.	clue
811.	coat
314.	cold
149.	color
54.	come
863.	company
447.	complete
456.	computer
536.	continue
454.	cook
159.	cookie
580.	cool
674.	copy
382.	correct
74.	could
278.	count
270.	country
410.	course
547.	cover
530.	cow
463.	crayon
772.	create
774.	cross
703.	crowd
331.	cry
750.	culture
768.	cup
384.	cut
284.	dad
167.	dance
581.	dangerous
487.	dark
798.	daughter
62.	day
570.	dead
822.	dear
458.	decide
689.	deep
706.	delicious
682.	describe
825.	desk
846.	dialog
315.	die
165.	different
471.	difficult
565.	dinner
589.	dinosaur
844.	dirty
12.	do
192.	doctor
202.	dog
755.	doll
223.	door
91.	down
261.	draw
608.	dream
490.	dress
366.	drink
550.	drive
766.	drop
795.	drum
796.	dry
337.	duck
560.	during
90.	each
515.	ear
681.	early
759.	earth
376.	easy
86.	eat
421.	egg
440.	eight
493.	elephant
495.	else
304.	end
808.	energy
407.	enjoy
342.	enough
248.	even
653.	evening
784.	event
341.	ever
204.	every
448.	everybody
312.	everyone
389.	everything
775.	everywhere
295.	example
491.	excite
700.	experience
393.	explain
193.	eye
211.	face
603.	fact
209.	fall
173.	family
519.	famous
413.	far
370.	farm
571.	farmer
