culture	문화,교양
mention	말하다
waste	낭비하다
borrow	빌리다
complete	완성하다
excellent	뛰어난
competent	유능한
religious	종교적인
favorite	아주 좋아하는
entire	전체의
primary	제1의, 주요한
similar	비슷한
precious	귀중한
normal	보통의
popular	인기있는
compulsory	의무적인
curious	호기심이 강한
independent	독립의
intimate	친밀한
delicious	맛있는
valuable	귀중한
grave	무덤, 중대한
elementary	초보의, 초등학교의
crazy	미친
contrary	반대의
regular	규칙적인, 보통의
social	사회의
straight	똑바른
noble	고귀한
anxious	걱정하는, 열망하는
international	국제적인
greedy	탐욕스러운
stupid	어리석은
silly	어리석은
lonely	고독한
dirty	더러운
various	여러가지의
private	개인의
vain	헛된
sore	아픈
fierce	사나운, 맹렬한
firm	굳은, 회사
solar	태양의
smart	똑똑한
single	단 하나의, 독신의
diligent	부지런한
serious	진지한
fresh	새로운, 신선한
empty	빈
mild	온화한
amazing	놀라운
charming	매력적인
boring	지겨운
giant	거대한
huge	거대한
tiny	몹시 작은
fair	공평한, 박람회
tough	거친, 질긴
foreign	외국의
modern	현대의
expensive	값비싼
harmful	해로운
calm	고요한
special	특별한
steady	꾸준한
hay	건초
revival	부활
million	백만
crop	농작물
shade	그늘
company	친구, 회사
canal	운하
wagon	짐마차
fact	사실
joy	기쁨
concert	음악회
rule	규칙, 지배하다
suitcase	여행가방
weight	무게
hurray	만세
log	통나무
hut	오두막집
tax	세금
dye	염색, 물감
earnings	벌이
flame	불꽃
shape	모양
chest	가슴, 상자
chain	사슬
cost	비용
coast	해안
circle	원
heart	심장
nature	자연
fever	열
tongue	혀, 언어
trust	신뢰
whisker	구렛나루
prison	감옥
blood	피
loaf	빵 한 덩어리
list	명단
fence	울타리
enemy	적
thief	도둑
data	자료
soldier	군인
musician	음악가
capital	수도, 자본
course	진로, 과정
diary	일기
squirrel	다람쥐
dawn	새벽
shadow	그림자
ditch	도랑
crew	승무원
stomach	위, 배
neighbor	이웃
servant	하인
hunger	굶주림
tomb	무덤
taste	맛, 취향
sign	신호
stair	계단
trip	여행
brain	뇌
trumpet	나팔
speech	말, 연설
thumb	엄지손가락
horn	뿔, 경적
chief	우두머리, 주요한
trousers	바지
prince	왕자
force	힘, 강요하다
sight	광경, 경치
space	공간, 우주
wool	양털
expressway	고속도로
science	과학
examination	시험, 검사
jar	항아리
salt	소금
death	죽음
saw	톱, 톱질하다
swing	그네, 회전하다
wish	소원, 원하다
grain	곡식, 낱알
eraser	지우개
shoulder	어깨
nephew	조카
niece	조카딸
library	도서관
factory	공장
giraffe	기린
hawk	매
pigeon	비둘기
bowl	사발, 그릇
scene	장면, 현장
life	생명, 생활
earth	지구, 땅
pill	알약
math	수학
ocean	대양
price	값, 가격
row	줄, 횡렬, 노젓다
schedule	예정표
machine	기계
route	길
ivy	담쟁이 덩굴
gift	선물, 타고난 재능
candle	양초, 촛불
joke	농담
art	예술, 미술
corn	곡물, 옥수수
pet	애완동물
robber	강도
cheek	볼, 빰
clerk	사무원, 점원
army	군대
nurse	간호사
master	주인, 정복하다
lock	자물쇠, 자물쇠를 채우다
moment	순간
sheet	침대의 시트, 종이 한 장
monk 	승려
teenager	10대
closet	벽장
handle	손잡이, 다루다
guide	안내자, 안내하다
