  commence	시작하다
  consume	소비하다
  assimilate	동화하다
  impose	부과하다
  encounter	만나다
  release	면제하다
  specialize	전공하다
  respond	응답하다
  soar	치솟다
  comprehend	이해하다
  detect	발견하다
  qualify	자격을주다
  decorate	장식하다
  accelerate	촉진하다
  betray	배반하다
  dominate	통치하다
  preserve	보존하다
  entreat	간청하다
  lack	부족하다
  interrupt	방해하다
  surpass	~뛰어나다
  render	~되게하다
  export	수출하다
  fulfil	이행하다
  inspect	검사하다
  indulge	탐닉하다
  prevail	유리하다
  adjust	적응시키다
  estimate	어림잡다
  compensate	배상하다
  restrain	억제하다
  appreciate	감상하다
  insist	주장하다
  acknowledge	인정하다
  distinguish	구별하다
  involve	포함하다
  intrude	침입하다
  torment	고문하다
  exhaust	다써버리다
  endure	견디다
  hesitate	주저하다
  substitute	대용하다
  prohibit	금지하다
  forbid	금하다
  display	보이다
  concentrate	집중하다
  yearn	그리워하다
  forsake	버리다
  endeavor	노력
  soothe	위로하다
  congratulate	축하하다
  confuse	혼란시키다
  improve	진보하다
  diffuse	퍼지게하다
  alter	바꾸다
  speculate	사색하다
  recover	회복하다
  urge	역설하다
  command	명령하다
  warn	경고하다
  transport	수송하다
  ignore	무시하다
  conceal	감추다
  utter	완전한
  flatter	아첨하다
  absorb	흡수하다
  yield	산출하다
  meditate	숙고하다
  perform	수행하다
  embarrass	난처하게하다
  reproach	비난하다
  bewilder	당황하게하다
  overcome	이겨내다
  assert	주장하다
  recognize	인정하다
  admit	들어오게하다
  persecute	학대하다
  launch	내보내다
  pretend	가장하다
  circulate	유통하다
  contemplate	응시하다
  cope	맞서다
  adapt	적응시키다
  alarm	경보
  adopt	채용하다
  submit	복종시키다
  convince	확신시키다
  repent	후회하다
  predict	예언하다
  avoid	피하다
  boast	자랑하다
  participate	참가하다
  abolish	폐지하다
  attribute	~덕분에
  survey	조사하다
  invest	투자하다
  seek	찾다, 구하다
  communicate	전달하다
  perplex	당황하게하다
  broadcast	방송하다
  reject	거절하다
  vex	초조하게하다
  overlook	내려다보다
  reinforce	보강하다
  accuse	고발하다
  restrict	제안하다
  attain	달성하다
  cherish	소중히하다
  suspend	중재하다
  inherit	상속하다
  bestow	수여하다
  undertake	떠맡다
  include	포함하다
  exclude	제외하다
  justify	정당화하다
  annoy	괴롭히다
  esteem	존중하다
  cure	치료하다
  resign	사직하다
  accurate	정확한
  rational	합리적인
  literate	글을읽고쓸줄아는사람
  conservative	보수적인
  radical	근본적인
  pure	순수한
  queer	별난
  sane	제정신의
  genuine	진짜의, 순수한
  vague	막연한
  entire	완전한,전체의
  absurd	터무니없는
  lonely	쓸쓸한
  savage	야만스러운
  nuclear	핵의
  obscure	무명의, 애매한
  intricate	뒤얽힌
  mortal	죽을운명의
  vivid 	생생한
  arrogant	오만한
  exotic	외국의,이국풍
  extreme	극단의
  imperative	명령적인
  mature	성숙한
  tight	단단한,팽팽한
  adequate	적당한,충분한
  dissolute	방탕한,타락한
  mutual	서로의
  splendid	화려한,훌륭한
  timid	겁많은
  durable	오래견디는
  conspicuous	유난히눈에띄는
  brisk	활발한
  primitive	원시의
  superficial	피상적인,천박한
  brilliant	빛나는,훌륭한
  conscious	의식적인
  abstract	추상적인
  concrete	구체적인
  profound	깊이가있는
  supreme	최고의
  trivial	시시한,하찮은
  apparent	명백한,외관상의
  thorough	철저한
  athletic	운동경기의
  absolute	절대적인
  meager(-re)	야윈,빈약한
  ultimate	최후의,궁극적인
  initial	처음의,머리문자
  solemn	엄숙한
  notorious	소문난
  sublime	숭고한,원대한
  immemorial	태고의
  constructive	건설적인
  destructive	파괴적인
  temporary	임시의,한때의
  contemporary	현대의
  aloof	따로떨어져서
  indispensable	없어서는안되는
  juvenile	소년소녀의
  abnormal	비정상적인
  external	외부의
  rare	대문,진귀한
  main	주요한
  complex	복잡한
  bold	대담한
  crude	천연그대로의
  polite	예의바른
  current	유행의
  severe	엄격한,격렬한
  remote	먼, 먼곳의
  deliberate	신중한
  separate	분리된
  physical	물리적인
  eternal	영원한
  unique	유일한,독특한
  transparent	투명한
  swift	신속한
  surplus	과잉
  obstinate	완고한,고집센
  stubborn	완고한,고집센
  dense	짙은,빽빽한
  familiar	친한,잘알고있는
  shrewd	영리한,빈틈없는
  remarkable	현저한,두드러진
  punctual	시간을지키는
  terrible	지독한,끔직한
  rude	무례한
  earnest	열심인, 진지한
  typical	전형적인
  sole	유일한,독특한
  fundamental	근본적인
  intense	강렬한
  essential	본질적인
  distinct	명백한,명확한
  particular	특수한,까다로운
  subtle	미묘한
  ordinary	보통의
  vulgar	천한,상스러운
  preferable	더마음에드는
  strict	엄격한,엄밀한
  naked	나체의
  feminine	여성의
  deficient	부족한
  tender	부드러운,상냥한
  incurable	불치의
  infinite	무한의
  irresistible	저항할수없는
  barren	불모의,메마른
  annual	해마다의
