keep,370.129,a1
fuck,369.969,b1
side,368.652,a1
large,368.627,a1
earlier,368.368,
working,367.084,b2
drop,366.438,a2
folder,364.864,c1
non,364.849,
believe,364.298,a1
once,362.658,a1
ago,362.248,a1
saying,361.804,c1
far,361.397,a1
site,361.347,a2
country,359.985,a1
done,359.597,
board,356.815,a2
almost,356.534,a1
stop,354.816,a1
official,354.212,a2
given,353.655,b2
point,353.017,a1
looking,352.647,c1
box,351.051,a2
history,350.737,a1
exchange,350.272,b1
period,349.831,a2
problem,349.389,a1
nose,348.84,b1
field,347.099,a2
build,346.799,a1
heard,346.391,
feel,345.533,a1
further,343.867,
move,343.797,a1
times,342.602,
fine,340.825,a1
icon,340.816,c1
early,337.736,a1
lot,337.634,a1
probably,335.916,a1
certain,334.509,a2
possible,333.42,a1
above,332.359,a2
report,330.896,a1
making,330.568,c1
action,330.129,a2
cause,329.915,a1
ha,325.279,b1
sale,322.613,b2
young,321.062,a1
kind,319.902,a1
program,318.745,a1
industry,317.271,a2
economic,317.248,a2
agreed,316.272,
different,315.679,a1
whole,315.05,a1
try,314.937,a1
opened,314.781,
within,314.125,a1
cash,312.92,b1
fall,312.782,a1
eyes,308.875,
later,308.688,a1
operations,308.423,
image,307.152,a2
option,305.64,a2
based,305.444,
view,304.88,a1
spokesman,304.55,c1
dead,304.395,a1
short,302.663,a2
display,302.053,b1
value,301.207,a2
earnings,300.981,b2
statement,299.625,a2
school,299.192,a1
word,298.784,a1
higher,298.73,
theme,298.56,b1
support,298.037,a1
present,297.997,a1
needs,297.913,
friend,296.498,a1
water,296.439,a1
mother,295.494,a1
lower,294.515,b2
morning,294.268,a1
course,294.056,a1
export,293.635,b2
sex,293.352,a2
food,292.845,a1
someone,292.833,a1
nine,291.856,b1
ass,291.479,b1
order,291.159,a1
room,290.447,a1
eat,290.395,a1
past,290.142,a1
hard,289.657,a1
save,289.217,a2
dry,289.052,b1
plan,288.882,a1
ship,288.334,a2
key,288.166,a2
reported,287.78,c1
father,287.557,a1
together,287.536,a1
broken,287.42,b2
held,287.314,
level,286.964,a1
record,286.958,a1
run,286.755,a1
however,286.733,a1
type,286.103,a2
land,285.857,a2
address,284.989,a2
pay,283.922,a1
getting,283.277,
banks,283.043,
area,282.745,a1
hear,280.123,a1
remember,279.73,a1
public,279.663,a1
third,278.153,a2
become,277.658,a1
recent,276.484,a2
policy,276.316,a2
among,276.09,a1
several,275.972,a1
location,275.891,b1
soon,275.854,a1
special,274.177,a2
car,271.145,a1
load,270.796,b1
size,270.729,a2
sell,270.424,a2
gain,270.41,a2
balance,270.041,b1
door,269.649,a1
behind,269.411,a1
previous,267.953,b1
ended,267.757,
dog,267.563,a2
character,266.673,a2
drink,266.066,a2
perhaps,266.013,a1
longer,265.991,
lost,265.451,b2
add,265.076,a1
term,264.643,a2
firebird,264.598,
yen,264.023,
links,262.684,
investment,262.621,b1
city,262.307,a1
either,261.93,a1
light,260.142,a1
wanted,259.702,
seven,259.075,a2
hot,259.024,a2
extension,258.994,b2
debt,258.99,b1
hands,258.872,
free,258.46,a1
url,256.9,
list,256.894,a2
fact,256.622,a1
result,254.186,a1
yesterday,253.215,b1
case,251.953,a1
wheat,251.792,c1
available,251.674,a2
focus,251.271,a1
running,250.624,b1
middle,249.632,a2
ain,249.299,
wife,249.293,a1
loading,248.982,c1
strong,248.487,a1
body,248.39,a1
able,248.315,a1
screen,247.396,b1
talk,246.769,a1
person,246.142,a1
clear,245.518,a1
announced,245.239,
although,245.158,a1
bottle,244.251,b1
scroll,244.221,c1
coming,242.119,b2
demand,242.07,a2
low,241.858,a1
future,241.585,a1
main,241.576,a2
bring,241.503,a1
isn,240.881,
taken,240.629,
likely,240.518,a2
password,240.117,c1
family,239.828,a1
deficit,239.423,b2
hit,238.702,a1
yeah,238.421,a1
turn,237.822,a1
credit,237.56,a2
closed,237.547,b2
talking,237.41,b2
live,236.656,a1
missing,235.555,b2
central,235.54,b1
general,235.49,a1
eight,235.383,a2
prior,234.71,b1
install,234.552,b2
pretty,234.495,a1
baby,234.112,a1
following,234.07,b1
taking,233.861,
drinking,233.363,b2
average,233.178,a2
below,232.358,a2
gold,231.775,b1
cost,231.699,a1
means,231.59,
meet,230.952,a1
continue,230.456,a1
financial,229.965,a2
web,229.931,b1
king,229.912,a2
palate,229.648,
fire,228.721,a1
near,228.693,a2
control,228.688,a1
leave,228.566,a1
increased,228.432,b2
heart,227.866,a1
unit,226.673,b1
local,226.622,a1
late,226.582,a1
mouse,226.074,b2
gas,225.826,b1
care,225.14,a1
annual,225.112,b1
turned,224.504,
position,224.386,a2
style,223.694,b1
sugar,223.485,b1
date,222.811,a2
gay,222.535,b1
include,222.434,a1
reason,222.105,a1
dividend,222.024,c1
terms,221.482,b1
trading,221.474,b2
hope,221.295,a1
currency,221.134,b2
mind,221.009,a1
power,220.68,a1
effect,220.638,a1
issue,219.728,a1
context,219.702,b1
along,219.693,a1
words,219.448,
kill,219.421,a1
capital,219.121,b1
domestic,218.747,b2
god,218.579,b1
sense,218.042,a1
rest,217.919,a1
bitch,216.38,b1
music,215.724,a1
sidebar,215.302,c1
works,214.878,b1
http,214.176,
appear,213.476,a1
rich,213.468,a2
totally,213.325,b1
reserves,213.205,
acquisition,212.996,c1
deal,212.646,a1
information,212.597,a1
often,212.315,a1
story,211.757,a1
stake,211.016,b2
law,210.666,a1
president,210.369,a1
play,209.908,a1
seem,209.762,a1
surplus,209.425,c1
job,209.369,a1
mom,209.082,a1
forward,208.656,a2
guess,208.395,a1
tender,208.182,c1
owned,207.492,
firm,207.158,b1
merger,207.15,c1
true,206.48,a1
costs,206.456,
felt,206.402,
hold,205.228,a1
sold,204.922,
kid,204.731,a1
income,204.463,b1
war,203.895,a1
service,203.798,a1
child,203.63,a1
toward,203.356,a2
sometimes,202.867,a1
sort,202.79,a2
outstanding,202.756,c1
return,202.636,a2
background,201.551,b1
economy,201.546,a2
hair,201.322,a2
matter,201.313,a1
data,201.276,a2
print,200.092,b1
allow,199.792,a1
minutes,199.397,
previously,198.83,b1
according,198.793,a2
amount,198.133,a2
marks,198.009,
development,197.313,a2
gone,197.209,
account,196.727,a2
