id,word_id,word,language,pronunciation
0199d456-de1d-70af-ad55-a024d2b0f9cd,01992797-2f11-7071-39c9-41ecd97ad7c5,banana,gb,bənɑ́ːnə
0199d456-dec9-7069-33c4-3bda955b0715,01992796-f352-7089-581f-927fc35664f2,sport,us,spɔːrt
0199d456-df00-7053-5fe3-54fae99f6002,01992796-f352-7089-581f-927fc35664f2,sport,gb,spɔːt
0199d456-dffa-70bd-cecf-a1b8b563d2f1,01992796-0d2f-7087-3ea3-745c72245f71,kind,us,kaind
0199d456-e02c-7040-6b5a-827be0f0128a,01992796-0d2f-7087-3ea3-745c72245f71,kind,gb,kaind
0199d456-e0f2-7055-53a1-2af031262a63,0199279e-bc79-70bf-4b3d-4dcc170f04e9,basketball,us,bǽskitbɔːl
0199d456-e135-706f-05cd-f14eb6a31064,0199279e-bc79-70bf-4b3d-4dcc170f04e9,basketball,gb,bɑ́ːskitbɔːl
0199d456-e1d8-701b-ccaa-eea77d7bef3b,0199277f-9001-7077-203d-d2616f0be96c,the,us,"ðə, ðiː"
0199d456-e20c-7059-0e3c-045fd0f14893,0199277f-9001-7077-203d-d2616f0be96c,the,gb,"ðə, ðiː"
0199d456-e305-7056-4558-eb8e046d1628,0199277f-0a89-703f-8e07-7b532dea0b7a,to,us,"tuː, tə"
0199d456-e359-7084-1f0d-e655fbe79531,0199277f-0a89-703f-8e07-7b532dea0b7a,to,gb,"tuː, tə"
0199d456-e40e-70da-f643-6a4b3736665f,0199277f-069d-706e-1a3a-d16896b5c9cf,of,us,"əv, ʌv"
0199d456-e44b-70a8-2de7-ff4457e989f3,0199277f-069d-706e-1a3a-d16896b5c9cf,of,gb,"əv, ɒv"
0199d456-e500-7092-aba2-29e6066a03d1,0199277f-131c-7073-c582-39974aad8387,and,us,"ænd, ən(d)"
0199d456-e538-700b-c4b6-401ed7dbc02f,0199277f-131c-7073-c582-39974aad8387,and,gb,"ænd, ən(d)"
0199d456-e5d4-7003-8284-0eba7b36a180,0199277f-022a-700d-a1fd-0e4f61fbc2db,in,us,ɪn
0199d456-e62e-70a1-a451-ac67fec3d7e7,0199277f-022a-700d-a1fd-0e4f61fbc2db,in,gb,ɪn
0199d456-e6e2-7035-1df1-5e0603feeba0,0199277f-02a8-705a-8380-f859d7273dbc,it,us,ɪt
0199d456-e716-705f-fcce-13f79b22d8d4,0199277f-02a8-705a-8380-f859d7273dbc,it,gb,ɪt
0199d456-e7bd-7012-845f-4d640e1a5b77,0199277f-3bb6-70cd-6593-b0b7836a8b79,for,us,fɔːr
0199d456-e7ec-7044-eed9-76c471ea4188,0199277f-3bb6-70cd-6593-b0b7836a8b79,for,gb,fɔː
0199d456-e8c7-70b6-5fb9-7f4f126ce537,0199277f-0724-701c-5e80-698c82e80251,on,us,ɑːn
0199d456-e8fa-7066-598c-b1d30dc7bf63,0199277f-0724-701c-5e80-698c82e80251,on,gb,ɒn
0199d456-e983-70be-5b8e-b4da27379e72,01992796-2d86-703a-d26c-a5f6df79c363,said,us,sɛd
0199d456-e9be-705f-8787-0caa2eea0868,01992796-2d86-703a-d26c-a5f6df79c363,said,gb,sɛd
0199d456-eb13-7007-90ba-f69e342d43c9,01992796-41b4-7073-af14-56723ace5541,with,us,"wɪð, wɪθ"
0199d456-eb46-7026-637b-42d76ea3e693,01992796-41b4-7073-af14-56723ace5541,with,gb,"wɪð, wɪθ"
0199d456-ebf8-702a-c96e-ccb42083316d,0199277f-67b6-704d-c2e5-3147d140cc3e,not,us,nɑːt
0199d456-ec37-708c-79b7-27a0ae83871b,0199277f-67b6-704d-c2e5-3147d140cc3e,not,gb,nɒt
0199d456-ece0-7072-5555-ad5fd610d1e4,0199277e-fd10-70a7-cd0f-e447bacbcc9c,be,us,biː
0199d456-edcc-7002-60db-27338a18dd0a,0199277e-fd10-70a7-cd0f-e447bacbcc9c,be,gb,biː
0199d456-ee78-7073-d3c7-6abc70fea338,019936a0-309f-70ca-09cf-f24ca86603e0,t,us,tiː
0199d456-eeb3-7031-4be6-9c5cf9ca05be,019936a0-309f-70ca-09cf-f24ca86603e0,t,gb,tiː
0199d456-ef51-70a0-4371-6dccb731d07e,0199277f-010c-70de-fe5b-d0fd83976a4f,he,us,hiː
0199d456-ef87-7004-9cff-27c871e111b2,0199277f-010c-70de-fe5b-d0fd83976a4f,he,gb,hiː
0199d456-f035-7075-3fda-8716da017546,01992780-e283-7022-8741-ada220bc4b44,from,us,"frʌm, frəm"
0199d456-f074-7002-3813-b75aa010730e,01992780-e283-7022-8741-ada220bc4b44,from,gb,"frɒm, frəm"
0199d456-f1dd-70ff-092f-d188346d875d,0199277e-fc2c-70cb-d7d5-a3af83840cae,at,us,æt
0199d456-f21d-703d-18c1-7e358f2e3a99,0199277e-fc2c-70cb-d7d5-a3af83840cae,at,gb,æt
0199d456-f317-709a-dc7f-e91198c71b33,0199277e-fbf5-705b-1b74-f775669feab5,as,us,æz
0199d456-f365-70b0-d724-318710be8767,0199277e-fbf5-705b-1b74-f775669feab5,as,gb,æz
0199d456-f42c-70e4-6f7f-2e6a87687309,01992785-b8ce-7012-38e3-c944f80c5483,have,us,"hæv, həv"
0199d456-f458-70d5-0dc3-a8010b34e4d9,01992785-b8ce-7012-38e3-c944f80c5483,have,gb,"hæv, həv"
0199d456-f501-70da-ec0b-752a70b63c0c,0199277e-fd71-7060-f08f-fe49715d7f62,by,us,baɪ
0199d456-f530-7087-81f1-342f520c473e,0199277e-fd71-7060-f08f-fe49715d7f62,by,gb,baɪ
0199d456-f5db-7089-251c-204b17949e5c,0199277f-14bc-7080-5a41-3751f1c3fa9a,are,us,ɑːr
0199d456-f630-70f0-9e47-88d59051e68d,0199277f-14bc-7080-5a41-3751f1c3fa9a,are,gb,ɑː
0199d456-f73e-70f0-f3ed-cb2e892009ca,0199277f-1ff6-7055-f5cc-1b24658d9339,but,us,bʌt
0199d456-f77c-70d9-e0d6-904bcb1404d7,0199277f-1ff6-7055-f5cc-1b24658d9339,but,gb,bʌt
0199d456-f81e-70ed-7377-fb839e8ce2c8,0199277f-0783-70cc-d5c5-5c7c5a4e7972,or,us,ɔːr
0199d456-f85d-7044-fa18-8a696ff26e50,0199277f-0783-70cc-d5c5-5c7c5a4e7972,or,gb,ɔː
0199d456-f951-70d1-11e4-429f55cbfb85,0199277e-fb8c-70cc-a8e4-7dc76cc9a7eb,an,us,æn
0199d456-f994-70a9-bcb5-53818b34655e,0199277e-fb8c-70cc-a8e4-7dc76cc9a7eb,an,gb,æn
0199d456-fa60-70e3-75a1-c4f47777ef46,0199277f-1114-70dc-48d3-47ebc104d20e,all,us,ɔːl
